method_mapped,category,size_total,x_model,y_model,x_past_rate,y_now_rate
theoretical studies,Mainstream,5158,0.5700000000000001,0.8996875732550668,0.2665323934206109,0.2772667542706964
bibliometrics,Mainstream,4869,0.9299999999999999,0.5909147209142097,0.288351795904666,0.1869908015768725
machine learning,Emerging,1487,0.2790400192391231,0.5700000000000001,0.0399462907015777,0.0978975032851511
questionnaire,Mainstream,1449,0.7439100927119684,0.9281041829550569,0.076200067136623,0.0638633377135348
statistical analysis,Mainstream,1334,0.5700000000000001,0.6476102186964833,0.071836186639812,0.0654402102496714
network analysis,Emerging,1085,0.32916205844469004,0.6655512462797692,0.0268546492111446,0.0645203679369251
transaction log analysis,Declining,695,0.8163626606042353,0.10385811444335974,0.0698220879489761,0.0181340341655716
interview,Mainstream,680,0.8572704887480493,0.8874240332657468,0.0362537764350453,0.0308804204993429
content analysis,Mainstream,634,0.77877545729393,0.6190225188709517,0.0292044310171198,0.0327201051248357
text mining,Emerging,513,0.07,0.8875069389967682,0.0067136623027861,0.0383705650459921
structural equation modeling,Marginalized,391,0.43,0.17801118955248446,0.0036925142665323,0.0318002628120893
patent analysis,Marginalized,387,0.15394872864669856,0.3496307206151537,0.0201409869083585,0.0135348226018396
experiment,Marginalized,288,0.15846727220043005,0.12638053666910748,0.0137630077207116,0.0161629434954007
spatio-temporal method,Marginalized,172,0.39150075517980126,0.1377780126510607,0.0073850285330647,0.0113009198423127
case study,Marginalized,135,0.30418907564995795,0.34321269483478156,0.008727760993622,0.0052562417871222
agent-based simulation and modeling,Marginalized,108,0.07,0.43,0.0053709298422289,0.0060446780551905
qualitative comparative analysis,Marginalized,94,0.07,0.16633649475117712,0.0083920778784827,0.0064388961892247
ethnography/field study,Marginalized,91,0.4169809792217532,0.40198306905067277,0.004363880496811,0.0047306176084099
focus group,Marginalized,91,0.27899044036729054,0.09822187005489172,0.0053709298422289,0.0032851511169513
large language model,Emerging,89,0.07,0.5982425804031208,0,0.0116951379763469
grounded theory,Marginalized,70,0.43,0.07,0.0010070493454179,0.0045992115637319
observation,Declining,69,0.9242316238766117,0.07187841410282703,0.0067136623027861,0.0032851511169513
meta analysis,Marginalized,52,0.07,0.07,0.0006713662302786,0.0042049934296977
delphi study,Declining,35,0.8119823853173442,0.3821096813593672,0.0026854649211144,0.0015768725361366
