method_mapped,category,size_total,x_model,y_model,x_past_rate,y_now_rate
theoretical studies,Mainstream,5158,0.7241816633119931,0.62174681980537,0.2897822445561139,0.300377358490566
bibliometrics,Mainstream,4869,0.8620100412849883,0.9253783488346627,0.3199329983249581,0.1690566037735849
machine learning,Emerging,1487,0.11768732887334057,0.6103559490817192,0.0251256281407035,0.1011320754716981
questionnaire,Mainstream,1449,0.5700000000000001,0.6499876613754144,0.0829145728643216,0.050566037735849
statistical analysis,Mainstream,1334,0.8105803668922131,0.8808596576289314,0.0703517587939698,0.0709433962264151
network analysis,Emerging,1085,0.1659488720570728,0.8588167800962635,0.0150753768844221,0.0618867924528301
transaction log analysis,Declining,695,0.8606220410116803,0.09556178546591981,0.0611390284757118,0.0139622641509433
interview,Mainstream,680,0.6635938274205623,0.5700000000000001,0.0318257956448911,0.0249056603773584
content analysis,Mainstream,634,0.6287304829010021,0.8222379261081123,0.0259631490787269,0.0294339622641509
text mining,Emerging,513,0.2860734880684009,0.6560324473549839,0.0083752093802345,0.0328301886792452
structural equation modeling,Marginalized,391,0.07084853595029213,0.16386932367265067,0.0016750418760469,0.0335849056603773
patent analysis,Marginalized,387,0.17138635127435645,0.31766499400502035,0.0184254606365159,0.0120754716981132
experiment,Marginalized,288,0.283670028215406,0.3759813744252199,0.0142378559463986,0.0188679245283018
spatio-temporal method,Marginalized,172,0.07465917714570099,0.3874474471413475,0.0033500837520938,0.010566037735849
case study,Marginalized,135,0.21185096557343214,0.07,0.0041876046901172,0.0041509433962264
agent-based simulation and modeling,Marginalized,108,0.07,0.10712626990555706,0.0041876046901172,0.0049056603773584
qualitative comparative analysis,Marginalized,94,0.43,0.13520871529182218,0.0050251256281407,0.0090566037735849
ethnography/field study,Marginalized,91,0.3968175674685411,0.34617894370137453,0.0050251256281407,0.0030188679245283
focus group,Marginalized,91,0.34614261462463414,0.0791868647739142,0.0033500837520938,0.0026415094339622
large language model,Emerging,89,0.2679941382536512,0.8291704864565788,0,0.0335849056603773
grounded theory,Marginalized,70,0.3451330750836413,0.43,0.0008375209380234,0.0045283018867924
observation,Declining,69,0.5977512270114245,0.34635127300120017,0.0050251256281407,0.0022641509433962
meta analysis,Marginalized,52,0.3386077449946749,0.1874231300129893,0.0008375209380234,0.0041509433962264
delphi study,Declining,35,0.6440595362503412,0.07,0.0033500837520938,0.0015094339622641
