method_mapped,category,size_total,x_model,y_model,x_past_rate,y_now_rate
theoretical studies,Mainstream,5158,0.7773583036169535,0.6362010826650251,0.301143583227446,0.2827209231703613
bibliometrics,Mainstream,4869,0.6562321085249118,0.9299999999999999,0.3354510800508259,0.1829638627391436
machine learning,Emerging,1487,0.3763677643641346,0.6856571846061074,0.0203303684879288,0.1000607348921955
questionnaire,Mainstream,1449,0.888653991908181,0.6667423232716326,0.0838627700127064,0.0636197995748557
statistical analysis,Mainstream,1334,0.5700000000000001,0.6648626477947065,0.0724269377382465,0.0657455208017005
network analysis,Emerging,1085,0.30269948263610114,0.5949446280418673,0.013977128335451,0.0645308229577892
transaction log analysis,Declining,695,0.7963298659108462,0.3573616787492033,0.0508259212198221,0.0163984208928029
interview,Mainstream,680,0.6948195546991005,0.8819670926458139,0.0304955527318932,0.0290009110233829
content analysis,Mainstream,634,0.5866266783469611,0.8491129008690557,0.0304955527318932,0.0318858184026723
text mining,Emerging,513,0.2841203475471296,0.8858307369671197,0.0050825921219822,0.0382629820832068
structural equation modeling,Marginalized,391,0.07,0.1516826995032128,0.0025412960609911,0.032341330094139
patent analysis,Marginalized,387,0.07,0.3202874900721622,0.0152477763659466,0.0141208624354691
experiment,Marginalized,288,0.12436363802711961,0.3884160473207651,0.0114358322744599,0.0153355602793805
spatio-temporal method,Marginalized,172,0.1056844987605264,0.10635922210863816,0.0025412960609911,0.010780443364713
case study,Marginalized,135,0.3466274791183185,0.41753985487202666,0.0038119440914866,0.005314303067112
agent-based simulation and modeling,Marginalized,108,0.43,0.37713593100020515,0.0050825921219822,0.0054661402976009
qualitative comparative analysis,Marginalized,94,0.43,0.07793383473471496,0.0025412960609911,0.0065290009110233
ethnography/field study,Marginalized,91,0.24047217685416197,0.3489452419552591,0.0050825921219822,0.0042514424536896
focus group,Marginalized,91,0.2739534298311758,0.18037311535852169,0.0012706480304955,0.0031885818402672
large language model,Emerging,89,0.08646933701567283,0.5700000000000001,0,0.0135135135135135
grounded theory,Marginalized,70,0.43,0.1620306910175455,0.0012706480304955,0.0048587913756453
observation,Declining,69,0.6212777772901985,0.14138226944503818,0.0025412960609911,0.0025812329183115
meta analysis,Marginalized,52,0.3162562605476761,0.1264422770412235,0.0012706480304955,0.0047069541451563
delphi study,Declining,35,0.5822039975467083,0.3288050638027976,0.0012706480304955,0.0018220467658669
